Program;Year;Period;Week Ending;Geo Level;State;State ISO;Commodity;Data Item;Domain;Domain Category;Value; Value in Kg per Acre
SURVEY;2011;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,000;4990
SURVEY;2011;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;23,100;10478
SURVEY;2011;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;18,200;8255
SURVEY;2011;YEAR;;STATE;INDIANA;IN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,800;5352
SURVEY;2011;YEAR;;STATE;IOWA;IA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;4,000;1814
SURVEY;2011;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;9,670;4386
SURVEY;2011;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,200;10070
SURVEY;2011;YEAR;;STATE;MASSACHUSETTS;MA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,000;5443
SURVEY;2011;YEAR;;STATE;MICHIGAN;MI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;28,400;12882
SURVEY;2011;YEAR;;STATE;MINNESOTA;MN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;9,900;4491
SURVEY;2011;YEAR;;STATE;MISSOURI;MO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,330;3778
SURVEY;2011;YEAR;;STATE;NEW HAMPSHIRE;NH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,000;5443
SURVEY;2011;YEAR;;STATE;NEW JERSEY;NJ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,200;9616
SURVEY;2011;YEAR;;STATE;NEW YORK;NY;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;29,000;13154
SURVEY;2011;YEAR;;STATE;NORTH CAROLINA;NC;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20,900;9480
SURVEY;2011;YEAR;;STATE;OHIO;OH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15,500;7031
SURVEY;2011;YEAR;;STATE;OREGON;OR;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,600;10251
SURVEY;2011;YEAR;;STATE;PENNSYLVANIA;PA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,800;9888
