Program;Year;Period;Week Ending;Geo Level;State;State ISO;Commodity;Data Item;Domain;Domain Category;Value;Apples in Kg per Acre;Pears in Kg per Acre;Blueberries in Kg per Acre;Cherries in Kg per Acre;Peaches in Kg per Acre;Strawberries in Kg per Acre
SURVEY;2011;YEAR;;STATE;TENNESSEE;TN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,600;4808;;;;;
SURVEY;2011;YEAR;;STATE;UTAH;UT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,600;6169;;;;;
SURVEY;2011;YEAR;;STATE;VERMONT;VT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,600;7983;;;;;
SURVEY;2011;YEAR;;STATE;VIRGINIA;VA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;19,300;8754;;;;;
SURVEY;2011;YEAR;;STATE;WASHINGTON;WA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;36,600;16601;;;;;
SURVEY;2011;YEAR;;STATE;WEST VIRGINIA;WV;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,900;6759;;;;;
SURVEY;2011;YEAR;;STATE;WISCONSIN;WI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,500;6123;;;;;
SURVEY;2012;YEAR;;STATE;ARIZONA;AZ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,000;3629;;;;;
SURVEY;2012;YEAR;;STATE;CALIFORNIA;CA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;16,900;7666;;;;;
SURVEY;2012;YEAR;;STATE;COLORADO;CO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,200;6441;;;;;
SURVEY;2012;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,680;3937;;;;;
SURVEY;2012;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;28,800;13063;;;;;
SURVEY;2012;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15,200;6895;;;;;
SURVEY;2012;YEAR;;STATE;INDIANA;IN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;3,000;1361;;;;;
SURVEY;2012;YEAR;;STATE;IOWA;IA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;700;318;;;;;
SURVEY;2012;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,300;4672;;;;;
SURVEY;2012;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;18,400;8346;;;;;
SURVEY;2012;YEAR;;STATE;MASSACHUSETTS;MA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;9,330;4232;;;;;
SURVEY;2012;YEAR;;STATE;MICHIGAN;MI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;3,290;1492;;;;;
SURVEY;2012;YEAR;;STATE;MINNESOTA;MN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;4,660;2114;;;;;
SURVEY;2012;YEAR;;STATE;MISSOURI;MO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;29,200;13245;;;;;
SURVEY;2012;YEAR;;STATE;NEW HAMPSHIRE;NH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,100;5035;;;;;
SURVEY;2012;YEAR;;STATE;NEW JERSEY;NJ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,900;9934;;;;;
SURVEY;2012;YEAR;;STATE;NEW YORK;NY;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;18,000;8165;;;;;
SURVEY;2012;YEAR;;STATE;NORTH CAROLINA;NC;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;5,400;2449;;;;;
SURVEY;2012;YEAR;;STATE;OHIO;OH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,250;3742;;;;;
SURVEY;2012;YEAR;;STATE;OREGON;OR;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;26,000;11793;;;;;
SURVEY;2012;YEAR;;STATE;PENNSYLVANIA;PA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;23,500;10659;;;;;
SURVEY;2012;YEAR;;STATE;RHODE ISLAND;RI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;5,670;2572;;;;;
SURVEY;2012;YEAR;;STATE;TENNESSEE;TN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;9,140;4146;;;;;
SURVEY;2012;YEAR;;STATE;UTAH;UT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,000;4536;;;;;
SURVEY;2012;YEAR;;STATE;VERMONT;VT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15,000;6804;;;;;
SURVEY;2012;YEAR;;STATE;VIRGINIA;VA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20,900;9480;;;;;
SURVEY;2012;YEAR;;STATE;WASHINGTON;WA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;43,600;19777;;;;;
SURVEY;2012;YEAR;;STATE;WEST VIRGINIA;WV;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,200;9616;;;;;
SURVEY;2012;YEAR;;STATE;WISCONSIN;WI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,390;3352;;;;;
SURVEY;2013;YEAR;;STATE;ARIZONA;AZ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;16,500;7484;;;;;
SURVEY;2013;YEAR;;STATE;CALIFORNIA;CA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,800;8074;;;;;
SURVEY;2013;YEAR;;STATE;COLORADO;CO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;4,670;2118;;;;;
SURVEY;2013;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,500;6123;;;;;
SURVEY;2013;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;26,100;11839;;;;;
SURVEY;2013;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,890;4032;;;;;
SURVEY;2013;YEAR;;STATE;INDIANA;IN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,400;9707;;;;;
SURVEY;2013;YEAR;;STATE;IOWA;IA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,100;3674;;;;;
SURVEY;2013;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;9,310;4223;;;;;
SURVEY;2013;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;19,400;8800;;;;;
SURVEY;2013;YEAR;;STATE;MASSACHUSETTS;MA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,500;6577;;;;;
SURVEY;2013;YEAR;;STATE;MICHIGAN;MI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;35,000;15876;;;;;
SURVEY;2013;YEAR;;STATE;MINNESOTA;MN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,000;4536;;;;;
SURVEY;2013;YEAR;;STATE;MISSOURI;MO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,100;6396;;;;;
SURVEY;2013;YEAR;;STATE;NEW HAMPSHIRE;NH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;18,200;8255;;;;;
SURVEY;2013;YEAR;;STATE;NEW JERSEY;NJ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,100;7756;;;;;
SURVEY;2013;YEAR;;STATE;NEW YORK;NY;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;35,000;15876;;;;;
SURVEY;2013;YEAR;;STATE;NORTH CAROLINA;NC;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;25,800;11703;;;;;
SURVEY;2013;YEAR;;STATE;OHIO;OH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,800;6260;;;;;
SURVEY;2013;YEAR;;STATE;OREGON;OR;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;28,800;13063;;;;;
SURVEY;2013;YEAR;;STATE;PENNSYLVANIA;PA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;25,700;11657;;;;;
SURVEY;2013;YEAR;;STATE;RHODE ISLAND;RI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,400;5171;;;;;
SURVEY;2013;YEAR;;STATE;TENNESSEE;TN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,600;4808;;;;;
SURVEY;2013;YEAR;;STATE;UTAH;UT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,700;5761;;;;;
SURVEY;2013;YEAR;;STATE;VERMONT;VT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,300;9662;;;;;
SURVEY;2013;YEAR;;STATE;VIRGINIA;VA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20,100;9117;;;;;
SURVEY;2013;YEAR;;STATE;WASHINGTON;WA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;38,600;17509;;;;;
SURVEY;2013;YEAR;;STATE;WEST VIRGINIA;WV;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,100;10024;;;;;
SURVEY;2013;YEAR;;STATE;WISCONSIN;WI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,000;5443;;;;;
SURVEY;2014;YEAR;;STATE;ARIZONA;AZ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,100;3221;;;;;
SURVEY;2014;YEAR;;STATE;CALIFORNIA;CA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;16,600;7530;;;;;
SURVEY;2014;YEAR;;STATE;COLORADO;CO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,420;3366;;;;;
SURVEY;2014;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,100;5035;;;;;
SURVEY;2014;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;26,400;11975;;;;;
SURVEY;2014;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,700;5307;;;;;
SURVEY;2014;YEAR;;STATE;INDIANA;IN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,200;5987;;;;;
SURVEY;2014;YEAR;;STATE;IOWA;IA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;5,000;2268;;;;;
SURVEY;2014;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,100;6396;;;;;
SURVEY;2014;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;25,200;11431;;;;;
SURVEY;2014;YEAR;;STATE;MASSACHUSETTS;MA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,000;6350;;;;;
SURVEY;2014;YEAR;;STATE;MICHIGAN;MI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;31,100;14107;;;;;
SURVEY;2014;YEAR;;STATE;MINNESOTA;MN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;9,620;4364;;;;;
SURVEY;2014;YEAR;;STATE;MISSOURI;MO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,400;7893;;;;;
SURVEY;2014;YEAR;;STATE;NEW HAMPSHIRE;NH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,000;5897;;;;;
SURVEY;2014;YEAR;;STATE;NEW JERSEY;NJ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,800;9888;;;;;
SURVEY;2014;YEAR;;STATE;NEW YORK;NY;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;31,300;14197;;;;;
SURVEY;2014;YEAR;;STATE;NORTH CAROLINA;NC;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20,800;9435;;;;;
SURVEY;2014;YEAR;;STATE;OHIO;OH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,200;5534;;;;;
SURVEY;2014;YEAR;;STATE;OREGON;OR;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;30,400;13789;;;;;
SURVEY;2014;YEAR;;STATE;PENNSYLVANIA;PA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;26,700;12111;;;;;
SURVEY;2014;YEAR;;STATE;RHODE ISLAND;RI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,830;3552;;;;;
SURVEY;2014;YEAR;;STATE;TENNESSEE;TN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,460;3837;;;;;
SURVEY;2014;YEAR;;STATE;UTAH;UT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,700;8029;;;;;
SURVEY;2014;YEAR;;STATE;VERMONT;VT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,300;7847;;;;;
SURVEY;2014;YEAR;;STATE;VIRGINIA;VA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;19,700;8936;;;;;
SURVEY;2014;YEAR;;STATE;WASHINGTON;WA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;48,400;21954;;;;;
SURVEY;2014;YEAR;;STATE;WEST VIRGINIA;WV;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,400;9707;;;;;
SURVEY;2014;YEAR;;STATE;WISCONSIN;WI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,500;6123;;;;;
SURVEY;2015;YEAR;;STATE;ARIZONA;AZ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7863;3567;;;;;
SURVEY;2015;YEAR;;STATE;CALIFORNIA;CA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,900;6759;;;;;
SURVEY;2015;YEAR;;STATE;COLORADO;CO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7294;3309;;;;;
SURVEY;2015;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,900;6305;;;;;
SURVEY;2015;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20,000;9072;;;;;
SURVEY;2015;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,100;5488;;;;;
SURVEY;2015;YEAR;;STATE;INDIANA;IN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,300;7847;;;;;
SURVEY;2015;YEAR;;STATE;IOWA;IA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;5,330;2418;;;;;
SURVEY;2015;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,200;5987;;;;;
SURVEY;2015;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,800;10342;;;;;
SURVEY;2015;YEAR;;STATE;MASSACHUSETTS;MA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,400;6532;;;;;
SURVEY;2015;YEAR;;STATE;MICHIGAN;MI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;30,200;13698;;;;;
SURVEY;2015;YEAR;;STATE;MINNESOTA;MN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,000;4536;;;;;
SURVEY;2015;YEAR;;STATE;MISSOURI;MO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;25,700;11657;;;;;
SURVEY;2015;YEAR;;STATE;NEW HAMPSHIRE;NH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15,500;7031;;;;;
SURVEY;2015;YEAR;;STATE;NEW JERSEY;NJ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;19,900;9026;;;;;
SURVEY;2015;YEAR;;STATE;NEW YORK;NY;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;33,100;15014;;;;;
SURVEY;2015;YEAR;;STATE;NORTH CAROLINA;NC;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,500;7938;;;;;
SURVEY;2015;YEAR;;STATE;OHIO;OH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,900;6759;;;;;
SURVEY;2015;YEAR;;STATE;OREGON;OR;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;25,100;11385;;;;;
SURVEY;2015;YEAR;;STATE;PENNSYLVANIA;PA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;26,000;11793;;;;;
SURVEY;2015;YEAR;;STATE;RHODE ISLAND;RI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,400;4717;;;;;
SURVEY;2015;YEAR;;STATE;TENNESSEE;TN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,080;3211;;;;;
SURVEY;2015;YEAR;;STATE;UTAH;UT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,500;5670;;;;;
SURVEY;2015;YEAR;;STATE;VERMONT;VT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,300;9662;;;;;
SURVEY;2015;YEAR;;STATE;VIRGINIA;VA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;19,100;8664;;;;;
SURVEY;2015;YEAR;;STATE;WASHINGTON;WA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;36,800;16692;;;;;
SURVEY;2015;YEAR;;STATE;WEST VIRGINIA;WV;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20,500;9299;;;;;
SURVEY;2015;YEAR;;STATE;WISCONSIN;WI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,900;5851;;;;;
SURVEY;2016;YEAR;;STATE;ARIZONA;AZ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7006;3178;;;;;
SURVEY;2016;YEAR;;STATE;CALIFORNIA;CA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;18,200;8255;;;;;
SURVEY;2016;YEAR;;STATE;COLORADO;CO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;6834;3100;;;;;
SURVEY;2016;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,170;3252;;;;;
SURVEY;2016;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;25,100;11385;;;;;
SURVEY;2016;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,000;4990;;;;;
SURVEY;2016;YEAR;;STATE;INDIANA;IN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21919;9942;;;;;
SURVEY;2016;YEAR;;STATE;IOWA;IA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;5731;2600;;;;;
SURVEY;2016;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,600;5715;;;;;
SURVEY;2016;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,600;10251;;;;;
SURVEY;2016;YEAR;;STATE;MASSACHUSETTS;MA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,000;4536;;;;;
SURVEY;2016;YEAR;;STATE;MICHIGAN;MI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;38,600;17509;;;;;
SURVEY;2016;YEAR;;STATE;MINNESOTA;MN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,410;3361;;;;;
SURVEY;2016;YEAR;;STATE;MISSOURI;MO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;30988;14056;;;;;
SURVEY;2016;YEAR;;STATE;NEW JERSEY;NJ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,500;6577;;;;;
SURVEY;2016;YEAR;;STATE;NEW YORK;NY;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;29,100;13200;;;;;
SURVEY;2016;YEAR;;STATE;NORTH CAROLINA;NC;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20,400;9253;;;;;
SURVEY;2016;YEAR;;STATE;OHIO;OH;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,500;4763;;;;;
SURVEY;2016;YEAR;;STATE;OREGON;OR;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;39,100;17735;;;;;
SURVEY;2016;YEAR;;STATE;PENNSYLVANIA;PA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;23,400;10614;;;;;
SURVEY;2016;YEAR;;STATE;TENNESSEE;TN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,743;3512;;;;;
SURVEY;2016;YEAR;;STATE;UTAH;UT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14239;6459;;;;;
SURVEY;2016;YEAR;;STATE;VERMONT;VT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15,800;7167;;;;;
SURVEY;2016;YEAR;;STATE;VIRGINIA;VA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,500;7938;;;;;
SURVEY;2016;YEAR;;STATE;WASHINGTON;WA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;44,400;20140;;;;;
SURVEY;2016;YEAR;;STATE;WEST VIRGINIA;WV;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,400;7893;;;;;
SURVEY;2016;YEAR;;STATE;WISCONSIN;WI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,300;4672;;;;;
SURVEY;2017;YEAR;;STATE;CALIFORNIA;CA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,700;8029;;;;;
SURVEY;2017;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;16,400;7439;;;;;
SURVEY;2017;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,600;10251;;;;;
SURVEY;2017;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,200;5987;;;;;
SURVEY;2017;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,500;6577;;;;;
SURVEY;2017;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;26,900;12202;;;;;
